Locality_ID,mita,Elevation,Slope
310,0,4346.0898,5.44204
311,0,4308.4199,3.59199
312,0,4548.1699,3.52178
313,1,4087.1899,2.5463
314,1,3965.47,1.77834
315,1,4014.8,2.76302
316,1,4128.8501,4.83793
317,1,3917.1499,5.57334
318,1,4026.6001,8.30867
319,1,4171.9902,7.01544
320,1,3931.1001,5.3065
326,0,4394.5898,2.48597
327,0,4438.0498,1.36658
328,0,4601.54,3.63981
329,0,4494.3101,3.74944
330,0,4637.4302,3.48769
331,0,4499.6001,3.52545
332,1,4058.4099,1.92795
333,1,4067.05,1.54532
334,1,4216.9502,3.2773
335,1,4121.4102,5.69542
336,1,4039.54,6.412
337,1,4576.0498,5.50629
338,1,4741.5498,6.04575
339,1,4337.9199,4.68838
346,0,4514.75,1.54379
347,0,4505.2002,2.19146
348,0,4639.2998,2.24359
349,1,4805.4302,3.28026
350,1,4345.4502,2.979
351,1,4254.2598,2.56533
352,1,4442.8999,3.81922
353,1,4440.2202,4.97267
354,1,4560.6602,6.54475
355,1,4438.8999,4.45757
356,1,4775.2202,2.79463
357,1,5079.1699,4.41499
365,1,4446.71,1.93758
366,1,4543.71,3.69898
367,1,4781.5298,3.26189
368,1,4782.02,3.35575
369,1,4418.1201,4.77619
370,1,4153.52,3.67506
371,1,4137.0898,3.10709
372,1,4457.8799,6.12938
373,1,4684.5801,3.53912
374,1,4848.75,4.21414
375,1,4943.9702,4.09961
376,1,5017.2202,6.10472
383,1,4219.77,4.23623
384,1,4296.1899,2.63196
385,1,4430.8101,4.47602
386,1,4680.46,4.42839
387,1,4670.7002,4.1015
388,1,4554.5298,5.02612
389,1,3982.01,1.89537
390,1,4101.5,2.55477
391,1,4198.27,3.73113
392,1,4482.5601,4.04485
402,1,4479.5098,3.41199
403,1,4346.5801,4.60037
404,1,4346.9102,4.44172
405,1,4423.6401,3.86507
406,1,4232.79,4.2359
407,1,4177.4399,3.89083
408,1,4042.8401,3.06745
409,1,4077.5901,3.05079
410,1,4083.8201,2.37117
420,1,4663.5801,4.33028
421,1,4478.4302,3.06939
422,1,4003.5801,2.64327
423,1,3897.6599,1.36148
424,1,3900.53,1.50707
425,1,3948.21,2.81025
426,1,3956.9399,2.10418
427,1,4040.73,2.68416
428,1,4025.5,2.41838
440,1,4172.5801,2.83506
441,1,3948.1001,1.70197
442,1,3840.05,0.505927
443,1,3857.02,1.01011
444,1,3853.1101,0.658488
