"","Ethnicity","Average_Income","Percent_of_Respondants"
"1","White",9.75452716297787,34.8666666666667
"2","Mulatto",7.7369985141159,46.2666666666667
"3","Black",8.28248587570621,12.2
"4","Asian",8.25925925925926,3.6
"5","Indigenous",7.39473684210526,2.66666666666667
"6","Don't Know",7.8,0.333333333333333
"7","No Response",NA,0.0666666666666667
